key,zh,en,ja,de,fr,es,ru
toolbox.daily_choice.use_multiplication,当多个条件必须都成立时使用乘法,Use multiplication when several conditions must hold,いくつかの条件がすべて成立する必要がある場合は、掛け算を使う,"Verwenden Sie Multiplikation, wenn mehrere Bedingungen erfüllt sein müssen",Utilisez la multiplication lorsque plusieurs conditions doivent être remplies,Usa multiplicación cuando varias condiciones deben cumplirse,"Используйте умножение, когда должно соблюдаться несколько условий."
toolbox.daily_choice.value_ranking_disagree,方法不一致时返回价值排序,Return to value ranking when methods disagree,方法が一致しない場合は価値のランキングに戻る,"Zur Wert-Rangordnung zurückkehren, wenn sich die Methoden unterscheiden",Revenir au classement des valeurs lorsque les méthodes divergent,Volver a la clasificación de valores cuando los métodos difieren,"Возвращайтесь к ранжированию по ценности, когда методы расходятся."
toolbox.daily_choice.values_tradeoffs,写下价值和权衡,Write down values and tradeoffs,価値とトレードオフを書き出す,Werte und Kompromisse aufschreiben,Noter les valeurs et les compromis,Anotar valores y compensaciones,Записывайте ценности и компромиссы.
toolbox.daily_choice.wear_library,衣柜,Wardrobe,ワードローブ,Kleiderschrank,Garde-robe,Armario,Гардероб.
toolbox.daily_choice.weather_not_ready,目前显示所有温度。如果天气服务已加载，将在此自动使用。,"Showing all temperatures for now. If the weather service has loaded, it will be used here automatically.",とりあえずすべての温度を表示しています。天気サービスが読み込まれていれば、自動的にここで使用されます。,"Zeige momentan alle Temperaturen an. Wenn der Wetterdienst geladen ist, wird er hier automatisch verwendet.","Affichage de toutes les températures pour l'instant. Si le service météorologique est chargé, il sera utilisé ici automatiquement.","Mostrando todas las temperaturas por ahora. Si el servicio meteorológico se ha cargado, se usará aquí automáticamente.","Сейчас показываются все температуры. Если сервис погоды загружен, он будет использоваться автоматически."
toolbox.daily_choice.weighted_factors,加权因素,Weighted factors,重み付けされた要素,Gewichtete Faktoren,Facteurs pondérés,Factores ponderados,Взвешенные факторы.
toolbox.daily_choice.weighted_factors_caution,对排名有用，但不能保证确定性。,"Useful for ranking, not for claiming certainty.",ランキングには役立つが、確実性を主張するには使えない。,"Nützlich zum Rangieren, nicht zum Beanspruchen von Sicherheit.","Utile pour le classement, pas pour affirmer une certitude.","Útil para clasificar, no para afirmar certeza.","Полезно для ранжирования, но не для утверждения определенности."
toolbox.daily_choice.weighted_factors_formula,加权收益减去风险、努力、遗憾和信息缺口的惩罚。,"Weighted positives minus penalties for risk, effort, regret, and info gaps.",リスク、努力、後悔、情報の不足に対するペナルティを引いた重み付けされたプラス値。,"Gewichtete Vorteile minus Abzüge für Risiko, Aufwand, Bedauern und Informationslücken.","Points positifs pondérés moins les pénalités pour risque, effort, regret et lacunes d'information.","Positivos ponderados menos penalizaciones por riesgo, esfuerzo, arrepentimiento y brechas de información.","Взвешенные положительные стороны минус штрафы за риск, усилия, сожаление и пробелы в информации."
toolbox.daily_choice.weighted_factors_subtitle,在同一标尺上比较价值、成功几率、可逆性、风险和信息缺口。,"Compare value, success odds, reversibility, risk, and info gaps on one ruler.",価値、成功確率、可逆性、リスク、情報ギャップを一つの尺度で比較する。,"Vergleiche Wert, Erfolgschancen, Umkehrbarkeit, Risiko und Informationslücken auf einer Skala.","Comparer valeur, chances de succès, réversibilité, risque et lacunes d'information sur une seule échelle.","Comparar valor, probabilidades de éxito, reversibilidad, riesgo y brechas de información en una sola regla.","Сравнивайте ценность, шансы на успех, обратимость, риск и пробелы в информации по одному критерию."
toolbox.daily_choice.when_to_research,何时需要进一步研究，何时需要行动,When to research more and when to move,さらに調査すべき時と行動すべき時,Wann mehr recherchiert werden sollte und wann gehandelt werden sollte,Quand rechercher davantage et quand agir,Cuándo investigar más y cuándo actuar,"Когда исследовать дальше, а когда действовать"
toolbox.daily_choice.when_to_research_subtitle,信息有价值，但分析仍需有停止点。,"Information has value, but analysis still needs a stop point.",情報には価値があるが、分析には停止点が必要である。,"Information hat Wert, aber die Analyse braucht trotzdem einen Endpunkt.","L'information a de la valeur, mais l'analyse nécessite encore un point d'arrêt.","La información tiene valor, pero el análisis aún necesita un punto de parada.","Информация имеет ценность, но анализ всё же требует точки остановки."
toolbox.hub.edit.confirm_remove_desc,该工具将在工具箱中隐藏。您可以随时从编辑面板恢复它。,This tool will be hidden from the toolbox. You can restore it anytime from the edit panel.,このツールはツールボックスから非表示になります。編集パネルからいつでも復元できます。,Dieses Werkzeug wird im Toolbox-Menü versteckt. Sie können es jederzeit über das Bearbeitungsfeld wiederherstellen.,Cet outil sera caché dans la boîte à outils. Vous pouvez le restaurer à tout moment depuis le panneau d'édition.,Esta herramienta estará oculta en la caja de herramientas. Puedes restaurarla en cualquier momento desde el panel de edición.,Этот инструмент будет скрыт из панели инструментов. Вы можете восстановить его в любое время через панель редактирования.
toolbox.hub.edit.confirm_remove_title,隐藏 {title}？,Hide {title}?,{title}を非表示にしますか？,{title} verstecken?,Cacher {title}?,¿Ocultar {title}?,Скрыть {title}?
toolbox.hub.edit.drag_tooltip,拖动以重新排序,Drag to reorder,再注文へのドラッグ,"Ziehen, um neu anzuordnen",Glisser pour réorganiser,Arrastrar para reorganizar,Перетащите для изменения порядка
toolbox.hub.edit.empty_desc_has_hidden,某些工具当前被隐藏。使用下面的隐藏部分来恢复它们。,Some tools are currently hidden. Use the hidden section below to restore them.,一部のツールは現在非表示です。下の非表示セクションから復元できます。,"Einige Werkzeuge sind derzeit versteckt. Verwenden Sie den untenstehenden Bereich für versteckte Werkzeuge, um sie wiederherzustellen.",Certains outils sont actuellement cachés. Utilisez la section cachée ci-dessous pour les restaurer.,Algunas herramientas están actualmente ocultas. Usa la sección de ocultos a continuación para restaurarlas.,"Некоторые инструменты в настоящее время скрыты. Используйте нижний раздел «Скрытые», чтобы восстановить их."
toolbox.hub.edit.empty_desc_no_hidden,所有工具都已显示。点击工具旁的眼睛图标即可隐藏。,"All available tools are currently visible. To hide a tool, tap the eye icon next to its name.",利用可能なすべてのツールが現在表示されています。ツールを非表示にするには、名前の横の目のアイコンをタップしてください。,"Alle verfügbaren Werkzeuge sind derzeit sichtbar. Um ein Werkzeug zu verstecken, tippen Sie auf das Augensymbol neben seinem Namen.","Tous les outils disponibles sont actuellement visibles. Pour cacher un outil, appuyez sur l'icône de l'œil à côté de son nom.","Todas las herramientas disponibles son actualmente visibles. Para ocultar una herramienta, toca el ícono de ojo junto a su nombre.","Все доступные инструменты в настоящее время видимы. Чтобы скрыть инструмент, коснитесь значка глаза рядом с его названием."
toolbox.hub.edit.empty_edit_button,打开编辑面板,Open edit panel,編集パネルを開く,Bearbeitungsfeld öffnen,Ouvrir le panneau d'édition,Abrir panel de edición,Открыть панель редактирования
toolbox.hub.edit.empty_hidden_count,有 {count} 个隐藏工具可以恢复显示,{count} hidden tools can be unhidden,{count}の非表示ツールが利用可能です,Versteckte Werkzeuge von {count} verfügbar,Outils cachés {count} disponibles,Herramientas ocultas {count} disponibles,Доступны скрытые инструменты {count}
toolbox.hub.edit.empty_title,无可见工具,No visible tools,目に見える工具はありません,Keine sichtbaren Werkzeuge,Aucun outil visible,No hay herramientas visibles,Видимых инструментов нет
toolbox.hub.edit.exit_button,退出编辑,Exit edit,編集終了,Bearbeitung beenden,Quitter l'édition,Salir de edición,Редактирование выхода
toolbox.hub.edit.layout_instructions,点击眼睛图标以隐藏或显示工具。拖动手柄以重新排序。,Tap the eye icon to hide or show a tool. Drag the handle to reorder.,目のアイコンをタップすると、ツールを非表示または表示できます。ハンドルをドラッグして再注文してください。,"Tippe auf das Augensymbol, um ein Werkzeug ein- oder auszublenden. Ziehe den Griff, um die Reihenfolge zu ändern.",Appuyez sur l'icône de l'œil pour masquer ou afficher un outil. Faites glisser la poignée pour réorganiser.,Toca el ícono del ojo para ocultar o mostrar una herramienta. Arrastra el manejador para reordenar.,"Нажмите на иконку глаза, чтобы скрыть или показать инструмент. Перетащите ручку для перестановки."
toolbox.hub.edit.remove_action,隐藏,Hide,非表示,Verstecken,Cacher,Ocultar,Скрыть
toolbox.hub.edit.remove_tooltip,隐藏此工具,Hide this tool,この道具を隠せ,Dieses Werkzeug ausblenden,Masquer cet outil,Ocultar esta herramienta,Спрячь этот инструмент
toolbox.hub.edit.reset_button,重置布局,Reset layout,リセットレイアウト,Layout zurücksetzen,Réinitialiser la disposition,Restablecer diseño,Сброс планировки
toolbox.hub.edit.restore_action,恢复,Restore,復元,Wiederherstellen,Restaurer,Restaurar,Восстановить
toolbox.hub.edit.restore_button,恢复全部,Restore all,すべてを復元してください,Alle wiederherstellen,Tout restaurer,Restaurar todo,Восстановить всё
toolbox.hub.edit.restore_notice,点击眼睛图标以恢复隐藏的工具。,Tap the eye icon to restore a hidden tool.,目のアイコンをタップすると隠しツールを復元できます。,"Tippe auf das Augensymbol, um ein ausgeblendetes Werkzeug wiederherzustellen.",Appuyez sur l'icône de l'œil pour restaurer un outil masqué.,Toca el ícono del ojo para restaurar una herramienta oculta.,"Нажмите на иконку глаза, чтобы восстановить скрытый инструмент."
toolbox.hub.edit.restore_section_title,隐藏的工具,Hidden tools,隠された道具,Ausgeblendete Werkzeuge,Outils masqués,Herramientas ocultas,Скрытые инструменты
toolbox.hub.edit.section_title,工具箱布局,Toolbox layout,ツールボックスのレイアウト,Werkzeugkasten-Layout,Disposition de la boîte à outils,Diseño de la caja de herramientas,Структура ящика инструментов
toolbox.hub.edit.snackbar_hidden,{title} 已隐藏,{title} hidden,{title}隠し,{title} ausgeblendet,{title} masqué,{title} oculto,{title} скрыт
toolbox.hub.edit.snackbar_restore,撤销,Undo,元に戻す,Rückgängig machen,Annuler,Deshacer,Отменить
toolbox.hub.edit.status_hidden,隐藏,Hidden,非表示,Versteckt,Caché,Oculto,Скрыто
toolbox.hub.edit.status_visible,可见,Visible,可視化,Sichtbar,Visible,Visible,Видимое
toolbox.hub.edit.toggle_enter,自定义,Customize,カスタマイズ,Anpassen,Personnaliser,Personalizar,Кастомизация
toolbox.hub.edit.toggle_exit,完成,Done,完了,Fertig,Terminé,Listo,Готово
toolbox.hub.entry.beads.subtitle,轻轻滑动珠子，在平缓节奏中放松下来。,Gently slide each bead and settle your mind in a calming rhythm.,一粒ずつ優しく滑らせ、心を落ち着かせるリズムに乗せてください。,Bewege jede Perle sanft und beruhige deinen Geist in einem entspannenden Rhythmus.,Faites glisser doucement chaque perle et installez votre esprit dans un rythme apaisant.,Desliza suavemente cada cuenta y calma tu mente con un ritmo relajante.,Аккуратно ведите бусину за бусиной — мысли успокаиваются в ровном ритме.
toolbox.hub.entry.beads.title,静心念珠,Mindful Beads,マインドフルビーズ,Achtsamkeitsperlen,Perles de pleine conscience,Cuentas Conscientes,Осознанные бусины
toolbox.hub.entry.beats.subtitle,用节奏音频提示，为限时专注打拍子。,Rhythmic audio cues for timed focus sessions.,タイミングを合わせた集中セッションのためのリズミカルな音声キュー。,Rhythmische Audiohinweise für zeitlich festgelegte Konzentrationssitzungen.,Indications audio rythmiques pour des sessions de concentration temporisées.,Señales de audio rítmicas para sesiones de enfoque temporizadas.,Ритмические аудиосигналы для сессий фокуса с ограничением времени.
toolbox.hub.entry.beats.title,专注节拍,Focus Beats,フォーカス・ビーツ,Fokus Beats,Battements de concentration,Latidos de Enfoque,Фокусные биты
toolbox.hub.entry.bowls.subtitle,11 种自然频率与 4 种音钵音色。,Eleven nature-tuned frequencies and four bowl voices.,11 の自然周波数と 4 種のボウル音色,Elf naturabgestimmte Frequenzen und vier Schalenstimmen.,Onze fréquences accordées à la nature et quatre voix de bol.,Once frecuencias afinadas de forma natural y cuatro timbres de cuenco.,Одиннадцать природных частот и четыре тембра чаш.
toolbox.hub.entry.bowls.title,音钵,Singing Bowls,歌う鉢,Klangschalen,Bols chantants,Cuencos Cantores,Поющие чаши
toolbox.hub.entry.breathing.subtitle,视觉引导的呼吸练习。,Guided breathing exercises with visual pacing.,視覚的なペース配分を使ったガイド付き呼吸法。,Geführte Atemübungen mit visueller Orientierung.,Exercices de respiration guidés avec rythme visuel.,Ejercicios de respiración guiados con ritmo visual.,Дыхательные упражнения с визуальным стимулированием.
toolbox.hub.entry.breathing.title,呼吸引导,Breathing Guide,呼吸ガイド,Atemanleitung,Guide de respiration,Guía de Respiración,Руководство по дыханию
toolbox.hub.entry.crypto.subtitle,加密、哈希与数据安全工具。,"Encryption, hashing, and data security tools.",暗号化、ハッシュ、データセキュリティツール。,"Verschlüsselungs-, Hashing- und Datensicherheitswerkzeuge.","Outils de cryptage, de hachage et de sécurité des données.","Herramientas de cifrado, hash y seguridad de datos.","Инструменты для шифрования, хеширования и защиты данных."
toolbox.hub.entry.crypto.title,加密与安全,Crypto Security,暗号セキュリティ,Kryptosicherheit,Sécurité Crypto,Seguridad Cripto,Криптобезопасность
toolbox.hub.entry.decision.subtitle,将日常犹豫不决变为可随机、可编辑、可复查的选择。,"Turn everyday indecision into randomized, editable, reviewable choices.",日常の迷いをランダムで編集可能で確認可能な選択肢に変えましょう。,"Verwandle alltägliche Unentschlossenheit in zufällige, bearbeitbare, überprüfbare Entscheidungen.","Transformez la décision quotidienne en choix aléatoires, modifiables et révisables.","Convierte la indecisión diaria en opciones aleatorias, editables y revisables.","Преврати повседневную нерешительность в случайные, редактируемые, отзываемые выборы."
toolbox.hub.entry.decision.title,每日决策,Daily Decision,デイリーデシジョン,Tägliche Entscheidung,Décision Quotidienne,Decisión Diaria,Ежедневное решение
toolbox.hub.entry.games.subtitle,转移注意力的快速认知小游戏合集。,Quick cognitive mini-games for focus shifting.,集中力を切り替えるためのクイック認知ミニゲーム。,Schnelle kognitive Mini-Spiele zur Fokussierungsverschiebung.,Mini-jeux cognitifs rapides pour le changement de concentration.,Mini-juegos cognitivos rápidos para cambiar el enfoque.,Быстрые мини-игры для мозга для переключения внимания.
toolbox.hub.entry.games.title,游戏中心,Mini Games,ミニゲーム,Mini-Spiele,Mini-Jeux,Mini Juegos,Мини-игры
toolbox.hub.entry.harp.subtitle,演奏竖琴、钢琴、长笛、尺八、鼓垫、吉他、三角铁、拇指琴、排钟等模拟乐器。,"Play simulated harp, piano, flute, shakuhachi, drum pad, guitar, triangle, kalimba, chimes and more.",ハープ、ピアノ、フルート、ドラムパッド、ギター、カリンバ、ベルなどを演奏。,Spiele Harfe Klavier Flöte Drum-Pad Gitarre Kalimba Röhrenglocken und mehr.,Jouez harpe piano flûte pad guitare kalimba cloches tubulaires et plus.,Toca arpa piano flauta pads guitarra kalimba campanas tubulares y más.,Играйте на арфе пианино флейте пэдах гитаре калимбе трубчатых колоколах и другом.
toolbox.hub.entry.harp.title,模拟乐器,Instrument Deck,楽器デッキ,Instrumenten-Deck,Instruments simulés,Instrumentos simulados,Симулятор инструментов
toolbox.hub.entry.life.subtitle,日常实用工具。,Practical utilities for daily routines.,日常生活に役立つ実用的なツール。,Praktische Hilfsmittel für den täglichen Ablauf.,Utilitaires pratiques pour les routines quotidiennes.,Utilidades prácticas para rutinas diarias.,Практические утилиты для повседневной жизни.
toolbox.hub.entry.life.title,生活工具,Life Tools,ライフツール,Lebenswerkzeuge,Outils de Vie,Herramientas de Vida,Инструменты для жизни
toolbox.hub.entry.schulte.subtitle,经典的注意力训练，记录速度与准确度。,Classic attention training with speed and accuracy tracking.,スピードと正確さを追跡するクラシックな注意力トレーニング。,Klassisches Aufmerksamkeitstraining mit Verfolgung von Geschwindigkeit und Genauigkeit.,Entraînement classique de l’attention avec suivi de la vitesse et de la précision.,Entrenamiento clásico de atención con seguimiento de velocidad y precisión.,Классическая тренировка внимательности с отслеживанием скорости и точности.
toolbox.hub.entry.schulte.title,舒尔特方格,Schulte Grid,シュルテグリッド,Schulte-Tabelle,Grille de Schulte,Cuadrícula Schulte,Сетка Шульте
toolbox.hub.entry.sleep_assistant.subtitle,个性化评估、计划与夜间指导。,"Personalized assessment, plans, and nightly guidance.",個別にカスタマイズされた評価、プラン、そして夜間のガイダンス。,"Personalisierte Bewertung, Pläne und nächtliche Anleitungen.","Évaluation personnalisée, plans et guidances nocturnes.","Evaluación personalizada, planes y guía nocturna.","Персонализированная оценка, планы и ночное руководство."
toolbox.hub.entry.sleep_assistant.title,睡眠助手,Sleep Assistant,睡眠アシスタント,Schlafassistent,Assistant de sommeil,Asistente de sueño,Помощник сна
toolbox.hub.entry.soothing.subtitle,精选平静循环配合呼吸灯效果。,Curated calming loops with breathing light effects.,呼吸の光効果とともにキュレーションされた落ち着きのループ。,Kuratierte beruhigende Schleifen mit Atemlichteffekten.,Boucles calmantes sélectionnées avec effets lumineux respiratoires.,Bucles calmantes seleccionados con efectos de luz respiratoria.,Подобранные успокаивающие циклы с эффектами дыхательного света.
toolbox.hub.entry.soothing.title,舒缓轻音乐,Soothing Music,癒しの音楽,Beruhigende Musik,Musique apaisante,Música relajante,Успокаивающая музыка
toolbox.hub.entry.tests.subtitle,认知与行为自我评估。,Cognitive and behavioral self-assessments.,認知・行動の自己評価。,Kognitive und verhaltensbezogene Selbstbewertungen.,Auto-évaluations cognitives et comportementales.,Autoevaluaciones cognitivas y conductuales.,Когнитивные и поведенческие самооценки.
toolbox.hub.entry.tests.title,认知与行为测评,Human Tests,人間のテスト,Menschliche Tests,Tests humains,Pruebas humanas,Тесты на человеке
toolbox.hub.entry.woodfish.subtitle,敲击电子木鱼，专注又减压。,A digital wooden fish for mindful tapping and stress relief.,マインドフルな叩きとストレス解消のためのデジタル木魚。,Ein digitaler Holzfisch für achtsames Klopfen und Stressabbau.,Un poisson en bois digital pour tapotements conscients et soulagement du stress.,Un pez de madera digital para golpear con atención plena y aliviar el estrés.,Цифровая «деревянная рыбка» для осознанного постукивания и снятия стресса.
toolbox.hub.entry.woodfish.title,电子木鱼,Digital Wooden Fish,電子木魚,Digitaler Holzfisch,Poisson en bois numérique,Pez de madera digital,Цифровая деревянная рыба
toolbox.hub.entry.zen.subtitle,用手指在沙子上绘画——一个口袋大小的平静时刻。,Draw with your fingertip on sand — a pocket-sized moment of calm.,指先で砂に描く—ポケットサイズの落ち着きのひととき。,Zeichnen Sie mit Ihrem Finger in den Sand — ein taschengroßer Moment der Ruhe.,Dessinez avec le bout de votre doigt sur du sable — un moment de calme de poche.,Dibuja con la punta del dedo en la arena: un momento de calma portátil.,Рисуйте пальцем на песке — карманный момент спокойствия.
toolbox.hub.entry.zen.title,指尖沙画,Finger Sand Art,指の砂絵,Fingersandkunst,Art du sable au doigt,Arte en arena con el dedo,Песочная живопись пальцем
toolbox.hub.intro.details_editing,点击眼睛图标隐藏或恢复。拖动手柄重新排序。置顶条目显示在顶部。,Tap the eye icon to hide or restore. Drag the handle to reorder. Pinned entries appear at the top.,目のアイコンをタップして非表示または復元します。ハンドルをドラッグして順序を変更します。固定された項目は上部に表示されます。,"Tippen Sie auf das Augensymbol, um zu verbergen oder wiederherzustellen. Ziehen Sie den Griff, um die Reihenfolge zu ändern. Angepinnte Einträge erscheinen oben.",Appuyez sur l'icône de l'œil pour masquer ou restaurer. Faites glisser la poignée pour réorganiser. Les entrées épinglées apparaissent en haut.,Toca el ícono del ojo para ocultar o restaurar. Arrastra el control para reordenar. Las entradas fijadas aparecen en la parte superior.,"Нажмите на значок глаза, чтобы скрыть или восстановить. Перетащите ручку для изменения порядка. Закрепленные записи отображаются вверху."
toolbox.hub.intro.details_idle,点击任意工具打开。将条目拖到快速面板以实现一键访问。,Tap any tool to open it. Drag entries onto the Quick panel for one-tap access.,どのツールでもタップして開きます。エントリをクイックパネルにドラッグして、ワンタップでアクセスできます。,"Tippe auf ein beliebiges Werkzeug, um es zu öffnen. Ziehe Einträge auf das Schnellzugriffs-Panel für den Ein-Tap-Zugriff.",Appuyez sur n'importe quel outil pour l'ouvrir. Faites glisser des éléments sur le panneau rapide pour un accès en une seule touche.,Toca cualquier herramienta para abrirla. Arrastra elementos al panel rápido para acceso con un solo toque.,"Нажмите на любой инструмент, чтобы открыть его. Перетаскивайте записи на панель быстрого доступа для однократного доступа."
toolbox.hub.intro.help_tooltip,如何使用工具箱,How to use the toolbox,ツールボックスの使い方,So benutzt du das Werkzeugkasten,Comment utiliser la boîte à outils,Cómo usar la caja de herramientas,Как использовать коробку инструментов
toolbox.hub.intro.highlight_edit,隐藏或显示工具以匹配您的日常习惯。,Hide or show tools to match your daily routine.,日常のルーティンに合わせてツールを表示・非表示にします。,"Werkzeuge ausblenden oder anzeigen, um deinen täglichen Ablauf anzupassen.",Masquez ou affichez des outils pour correspondre à votre routine quotidienne.,Oculta o muestra herramientas para que coincidan con tu rutina diaria.,Скрывайте или показывайте инструменты в соответствии с вашей повседневной рутиной.
toolbox.hub.intro.highlight_reorder,拖拽调整顺序，常用工具触手可及。,Drag-and-drop reordering for quick access.,ドラッグアンドドロップで順序を変更し、素早くアクセスします。,Drag-and-Drop-Neuanordnung für schnellen Zugriff.,Réorganisation par glisser-déposer pour un accès rapide.,Reordenamiento por arrastrar y soltar para acceso rápido.,Перетаскивание для быстрого доступа.
toolbox.hub.intro.highlight_restorable,隐藏的工具不会被删除，轻点即可恢复。,"Hidden tools are hidden, not deleted — one tap restores them.",非表示のツールは削除されていません — ワンタップで復元できます。,"Versteckte Werkzeuge sind verborgen, nicht gelöscht — ein Tippen stellt sie wieder her.","Les outils masqués sont cachés, pas supprimés — un tap rétablit leur affichage.","Las herramientas ocultas están ocultas, no eliminadas: un toque las restaura.","Скрытые инструменты скрыты, а не удалены — одно нажатие восстановит их."
toolbox.hub.intro.highlight_shortcuts,将最常用的工具固定到快速入口面板。,Pin your most-used tools to the Quick entry panel.,よく使うツールをクイックエントリーパネルに固定します。,Hefte deine am häufigsten verwendeten Werkzeuge am Quick-Entry-Panel an.,Épinglez vos outils les plus utilisés sur le panneau des entrées rapides.,Fija tus herramientas más usadas en el panel de acceso rápido.,Закрепите наиболее часто используемые инструменты на панели быстрого доступа.
toolbox.hub.intro.summary_editing,隐藏不常用的工具，重新排列您的收藏，并固定快捷方式。,"Hide tools you rarely use, reorder your favorites, and pin shortcuts.",ほとんど使わないツールを非表示にし、お気に入りのツールを並べ替え、ショートカットを固定します。,"Werkzeuge, die du selten benutzt, ausblenden, deine Favoriten neu anordnen und Verknüpfungen anheften.","Masquez les outils que vous utilisez rarement, réorganisez vos favoris et épinglez des raccourcis.","Oculta herramientas que usas raramente, reordena tus favoritas y fija accesos directos.","Скрывайте редко используемые инструменты, переставляйте любимые и закрепляйте ярлыки."
toolbox.hub.intro.summary_idle,快速访问睡眠、专注、声音和放松工具。,"Quick access to sleep, focus, sound, and calm tools.",睡眠、集中、サウンド、リラックスツールへのクイックアクセス。,"Schneller Zugriff auf Schlaf-, Fokus-, Sound- und Entspannungswerkzeuge.","Accès rapide aux outils sommeil, concentration, son et calme.","Acceso rápido a herramientas de sueño, concentración, sonido y calma.","Быстрый доступ к инструментам сна, концентрации, звука и успокоения."
toolbox.hub.intro.title_editing,自定义您的工具箱,Customize your toolbox,ツールボックスをカスタマイズ,Passe deinen Werkzeugkasten an,Personnalisez votre boîte à outils,Personaliza tu caja de herramientas,Настройте вашу коробку инструментов
toolbox.hub.intro.title_idle,你的健康工具箱,Your wellness toolkit,あなたのウェルネスツールキット,Dein Wellness-Werkzeugkasten,Votre boîte à outils bien-être,Tu kit de bienestar,Ваш набор инструментов для благополучия
toolbox.hub.page.section_title,可用工具,Available tools,利用可能なツール,Verfügbare Werkzeuge,Outils disponibles,Herramientas disponibles,Доступные инструменты
toolbox.hub.page.subtitle,浏览、配置并个性化您的健康工具包。,"Browse, configure, and personalize your wellness toolkit.",ウェルネスツールキットを閲覧、設定、そして個人用にカスタマイズします。,"Durchsuchen, konfigurieren und personalisieren Sie Ihr Wellness-Werkzeugset.","Parcourez, configurez et personnalisez votre boîte à outils bien-être.","Navega, configura y personaliza tu kit de herramientas de bienestar.","Просматривайте, настраивайте и персонализируйте ваш набор инструментов для благополучия."
toolbox.hub.page.title,工具箱,Toolbox,ツールボックス,Werkzeugkasten,Boîte à outils,Caja de herramientas,Ящик инструментов
toolbox.hub.quick.choose_desc,选择您希望出现在快速面板中的工具。,Select the tools you want to appear in the Quick panel.,クイックパネルに表示したいツールを選択します。,"Wählen Sie die Werkzeuge aus, die im Schnellzugriffsbereich angezeigt werden sollen.",Sélectionnez les outils que vous souhaitez voir apparaître dans le panneau rapide.,Selecciona las herramientas que deseas que aparezcan en el panel rápido.,"Выберите инструменты, которые вы хотите видеть в панели быстрого доступа."
toolbox.hub.quick.choose_title,选择快速条目,Choose quick entries,クイックエントリーを選択,Wählen Sie Schnellzugriffe,Choisissez les entrées rapides,Elige entradas rápidas,Выберите быстрые записи
toolbox.hub.quick.clear,清除所有,Clear all,すべてクリア,Alle löschen,Tout effacer,Borrar todo,Очистить все
toolbox.hub.quick.empty_hint,将工具拖到此处以便一键访问。点击“管理”以选择您的快捷方式。,"Drag tools here for one-tap access. Tap ""Manage"" to pick your shortcuts.",ワンタップアクセスのためにここにツールをドラッグします。「管理」をタップしてショートカットを選びます。,"Ziehen Sie Werkzeuge hierher für den Ein-Tippen-Zugriff. Tippen Sie auf ""Verwalten"", um Ihre Verknüpfungen auszuwählen.","Faites glisser les outils ici pour un accès en un seul tap. Appuyez sur ""Gérer"" pour choisir vos raccourcis.","Arrastra herramientas aquí para acceso con un toque. Toca ""Administrar"" para escoger tus accesos directos.","Перетащите инструменты сюда для однонажатного доступа. Нажмите «Управление», чтобы выбрать свои ярлыки."
toolbox.hub.quick.manage,管理,Manage,管理,Verwalten,Gérer,Administrar,Управление
toolbox.hub.quick.release_hint,拖到此处以固定,Drop here to pin,ここにドロップしてピン留め,"Hier ablegen, um anzuheften",Déposez ici pour épingler,Suelta aquí para fijar,"Перетащите сюда, чтобы закрепить"
toolbox.hub.quick.save,保存,Save,保存,Speichern,Enregistrer,Guardar,Сохранить
toolbox.hub.quick.title,快速访问,Quick Access,クイックアクセス,Schnellzugriff,Accès rapide,Acceso rápido,Быстрый доступ
toolbox.hub.section.calm.subtitle,静心念珠与随心沙盘，随手可得的平静时刻。,Mindful beads and finger sand art — quick moments of calm.,マインドフルビーズとフィンガーサンドアートで、いつでも穏やかなひとときを。,Achtsamkeitsperlen und Fingersandkunst – ruhige Momente jederzeit.,Perles de pleine conscience et art du sable au doigt : des instants de calme à portée de main.,Cuentas conscientes y arte de arena con los dedos: momentos de calma al instante.,Осознанные бусины и песочное искусство пальцами — спокойствие под рукой.
toolbox.hub.section.calm.title,平静与冥想,Calm & Meditation,落ち着きと瞑想,Ruhe & Meditation,Calme & Méditation,Calma y meditación,Спокойствие и медитация
toolbox.hub.section.crypto.subtitle,加密、哈希和安全工具。,"Encryption, hashing, and security utilities.",暗号化、ハッシュ化、セキュリティユーティリティ。,"Verschlüsselungs-, Hash- und Sicherheitswerkzeuge.","Utilitaires de chiffrement, de hachage et de sécurité.","Utilidades de cifrado, hash y seguridad.","Утилиты шифрования, хеширования и безопасности."
toolbox.hub.section.crypto.title,加密与安全,Crypto & Security,暗号とセキュリティ,Krypto & Sicherheit,Crypto & Sécurité,Cripto y seguridad,Крипто и безопасность
toolbox.hub.section.decision.subtitle,将日常困境变成轻松、可以反复做出的选择。,"Turn daily dilemmas into light, replayable choices.",日々のジレンマを軽やかで何度も体験できる選択に変えます。,"Verwandle tägliche Dilemmata in leichte, wiederholbare Entscheidungen.",Transformez les dilemmes quotidiens en choix légers et rejouables.,Convierte los dilemas diarios en elecciones ligeras y reproducibles.,"Превратите ежедневные дилеммы в лёгкие, повторяемые решения."
toolbox.hub.section.decision.title,决策助手,Decision Helper,決定ヘルパー,Entscheidungshelfer,Assistant de décision,Asistente de Decisiones,Помощник в принятии решений
